sentence,entity1,entity2,label
"We give a complete algorithm for determining if a dormant independence between two sets of variables is entailed by the causal graph , such that this independence is identifiable , in other words if it resides in an interventional distribution that can be predicted without resorting to interventions .",interventional distribution,it,FEATURE-OF
We further show the usefulness of dormant independencies in model testing and induction by giving an algorithm that uses constraints entailed by dormant independencies to prune extraneous edges from a given causal graph .,dormant independencies,model testing,USED-FOR
We further show the usefulness of dormant independencies in model testing and induction by giving an algorithm that uses constraints entailed by dormant independencies to prune extraneous edges from a given causal graph .,dormant independencies,induction,USED-FOR
We further show the usefulness of dormant independencies in model testing and induction by giving an algorithm that uses constraints entailed by dormant independencies to prune extraneous edges from a given causal graph .,model testing,induction,CONJUNCTION
We further show the usefulness of dormant independencies in model testing and induction by giving an algorithm that uses constraints entailed by dormant independencies to prune extraneous edges from a given causal graph .,algorithm,extraneous edges,USED-FOR
We further show the usefulness of dormant independencies in model testing and induction by giving an algorithm that uses constraints entailed by dormant independencies to prune extraneous edges from a given causal graph .,constraints,algorithm,USED-FOR
We further show the usefulness of dormant independencies in model testing and induction by giving an algorithm that uses constraints entailed by dormant independencies to prune extraneous edges from a given causal graph .,extraneous edges,causal graph,PART-OF
"With the recent popularity of animated GIFs on social media , there is need for ways to index them with rich meta-data .",social media,animated GIFs,FEATURE-OF
"To advance research on animated GIF understanding , we collected a new dataset , Tumblr GIF -LRB- TGIF -RRB- , with 100K animated GIFs from Tumblr and 120K natural language descriptions obtained via crowdsourcing .",dataset,animated GIF understanding,USED-FOR
"To advance research on animated GIF understanding , we collected a new dataset , Tumblr GIF -LRB- TGIF -RRB- , with 100K animated GIFs from Tumblr and 120K natural language descriptions obtained via crowdsourcing .",natural language descriptions,animated GIFs,CONJUNCTION
"To advance research on animated GIF understanding , we collected a new dataset , Tumblr GIF -LRB- TGIF -RRB- , with 100K animated GIFs from Tumblr and 120K natural language descriptions obtained via crowdsourcing .",crowdsourcing,natural language descriptions,USED-FOR
"The motivation for this work is to develop a testbed for image sequence description systems , where the task is to generate natural language descriptions for animated GIFs or video clips .",natural language descriptions,animated GIFs,USED-FOR
"The motivation for this work is to develop a testbed for image sequence description systems , where the task is to generate natural language descriptions for animated GIFs or video clips .",natural language descriptions,video clips,USED-FOR
"The motivation for this work is to develop a testbed for image sequence description systems , where the task is to generate natural language descriptions for animated GIFs or video clips .",animated GIFs,video clips,CONJUNCTION
"To ensure a high quality dataset , we developed a series of novel quality controls to validate free-form text input from crowd-workers .",quality controls,free-form text input,USED-FOR
"We show that there is unambiguous association between visual content and natural language descriptions in our dataset , making it an ideal benchmark for the visual content captioning task .",visual content,natural language descriptions,CONJUNCTION
"We show that there is unambiguous association between visual content and natural language descriptions in our dataset , making it an ideal benchmark for the visual content captioning task .",visual content,dataset,PART-OF
"We show that there is unambiguous association between visual content and natural language descriptions in our dataset , making it an ideal benchmark for the visual content captioning task .",natural language descriptions,dataset,PART-OF
"We show that there is unambiguous association between visual content and natural language descriptions in our dataset , making it an ideal benchmark for the visual content captioning task .",it,visual content captioning task,EVALUATE-FOR
We perform extensive statistical analyses to compare our dataset to existing image and video description datasets .,dataset,image and video description datasets,COMPARE
"Next , we provide baseline results on the animated GIF description task , using three representative techniques : nearest neighbor , statistical machine translation , and recurrent neural networks .",representative techniques,animated GIF description task,USED-FOR
"Next , we provide baseline results on the animated GIF description task , using three representative techniques : nearest neighbor , statistical machine translation , and recurrent neural networks .",nearest neighbor,representative techniques,HYPONYM-OF
"Next , we provide baseline results on the animated GIF description task , using three representative techniques : nearest neighbor , statistical machine translation , and recurrent neural networks .",nearest neighbor,statistical machine translation,CONJUNCTION
"Next , we provide baseline results on the animated GIF description task , using three representative techniques : nearest neighbor , statistical machine translation , and recurrent neural networks .",statistical machine translation,representative techniques,HYPONYM-OF
"Next , we provide baseline results on the animated GIF description task , using three representative techniques : nearest neighbor , statistical machine translation , and recurrent neural networks .",statistical machine translation,recurrent neural networks,CONJUNCTION
"Next , we provide baseline results on the animated GIF description task , using three representative techniques : nearest neighbor , statistical machine translation , and recurrent neural networks .",recurrent neural networks,representative techniques,HYPONYM-OF
"Finally , we show that models fine-tuned from our animated GIF description dataset can be helpful for automatic movie description .",animated GIF description dataset,automatic movie description,USED-FOR
"Systemic grammar has been used for AI text generation work in the past , but the implementations have tended be ad hoc or inefficient .",Systemic grammar,AI text generation,USED-FOR
This paper presents an approach to systemic text generation where AI problem solving techniques are applied directly to an unadulterated systemic grammar .,approach,text generation,USED-FOR
This paper presents an approach to systemic text generation where AI problem solving techniques are applied directly to an unadulterated systemic grammar .,AI problem solving techniques,systemic grammar,USED-FOR
This approach is made possible by a special relationship between systemic grammar and problem solving : both are organized primarily as choosing from alternatives .,systemic grammar,problem solving,CONJUNCTION
"The result is simple , efficient text generation firmly based in a linguistic theory .",linguistic theory,text generation,USED-FOR
In this paper a novel solution to automatic and unsupervised word sense induction -LRB- WSI -RRB- is introduced .,solution,automatic and unsupervised word sense induction -LRB- WSI -RRB-,USED-FOR
"It represents an instantiation of the one sense per collocation observation -LRB- Gale et al. , 1992 -RRB- .",It,one sense per collocation observation,HYPONYM-OF
Like most existing approaches it utilizes clustering of word co-occurrences .,clustering of word co-occurrences,it,USED-FOR
This approach differs from other approaches to WSI in that it enhances the effect of the one sense per collocation observation by using triplets of words instead of pairs .,approach,approaches,COMPARE
This approach differs from other approaches to WSI in that it enhances the effect of the one sense per collocation observation by using triplets of words instead of pairs .,approach,WSI,USED-FOR
This approach differs from other approaches to WSI in that it enhances the effect of the one sense per collocation observation by using triplets of words instead of pairs .,approaches,WSI,USED-FOR
This approach differs from other approaches to WSI in that it enhances the effect of the one sense per collocation observation by using triplets of words instead of pairs .,it,one sense per collocation observation,USED-FOR
This approach differs from other approaches to WSI in that it enhances the effect of the one sense per collocation observation by using triplets of words instead of pairs .,triplets of words,it,USED-FOR
The combination with a two-step clustering process using sentence co-occurrences as features allows for accurate results .,sentence co-occurrences,two-step clustering process,USED-FOR
"Additionally , a novel and likewise automatic and unsupervised evaluation method inspired by Schutze 's -LRB- 1992 -RRB- idea of evaluation of word sense disambiguation algorithms is employed .",automatic and unsupervised evaluation method,word sense disambiguation algorithms,EVALUATE-FOR
Offering advantages like reproducability and independency of a given biased gold standard it also enables automatic parameter optimization of the WSI algorithm .,automatic parameter optimization,WSI algorithm,USED-FOR
This abstract describes a natural language system which deals usefully with ungrammatical input and describes some actual and potential applications of it in computer aided second language learning .,natural language system,ungrammatical input,USED-FOR
This abstract describes a natural language system which deals usefully with ungrammatical input and describes some actual and potential applications of it in computer aided second language learning .,it,computer aided second language learning,USED-FOR
"However , this is not the only area in which the principles of the system might be used , and the aim in building it was simply to demonstrate the workability of the general mechanism , and provide a framework for assessing developments of it .",system,this,USED-FOR
"In a motorized vehicle a number of easily measurable signals with frequency components related to the rotational speed of the engine can be found , e.g. , vibrations , electrical system voltage level , and ambient sound .",frequency components,measurable signals,USED-FOR
"In a motorized vehicle a number of easily measurable signals with frequency components related to the rotational speed of the engine can be found , e.g. , vibrations , electrical system voltage level , and ambient sound .",frequency components,rotational speed of the engine,FEATURE-OF
"In a motorized vehicle a number of easily measurable signals with frequency components related to the rotational speed of the engine can be found , e.g. , vibrations , electrical system voltage level , and ambient sound .",vibrations,measurable signals,HYPONYM-OF
"In a motorized vehicle a number of easily measurable signals with frequency components related to the rotational speed of the engine can be found , e.g. , vibrations , electrical system voltage level , and ambient sound .",vibrations,electrical system voltage level,CONJUNCTION
"In a motorized vehicle a number of easily measurable signals with frequency components related to the rotational speed of the engine can be found , e.g. , vibrations , electrical system voltage level , and ambient sound .",electrical system voltage level,measurable signals,HYPONYM-OF
"In a motorized vehicle a number of easily measurable signals with frequency components related to the rotational speed of the engine can be found , e.g. , vibrations , electrical system voltage level , and ambient sound .",electrical system voltage level,ambient sound,CONJUNCTION
"In a motorized vehicle a number of easily measurable signals with frequency components related to the rotational speed of the engine can be found , e.g. , vibrations , electrical system voltage level , and ambient sound .",ambient sound,measurable signals,HYPONYM-OF
These signals could potentially be used to estimate the speed and related states of the vehicle .,signals,speed and related states of the vehicle,USED-FOR
"Unfortunately , such estimates would typically require the relations -LRB- scale factors -RRB- between the frequency components and the speed for different gears to be known .",frequency components,speed,CONJUNCTION
"Unfortunately , such estimates would typically require the relations -LRB- scale factors -RRB- between the frequency components and the speed for different gears to be known .",speed,gears,FEATURE-OF
"Consequently , in this article we look at the problem of estimating these gear scale factors from training data consisting only of speed measurements and measurements of the signal in question .",training data,gear scale factors,USED-FOR
The estimation problem is formulated as a maximum likelihood estimation problem and heuristics is used to find initial values for a numerical evaluation of the estimator .,maximum likelihood estimation problem,estimation problem,USED-FOR
The estimation problem is formulated as a maximum likelihood estimation problem and heuristics is used to find initial values for a numerical evaluation of the estimator .,heuristics,numerical evaluation of the estimator,USED-FOR
"Finally , a measurement campaign is conducted and the functionality of the estimation method is verified on real data .",real data,estimation method,EVALUATE-FOR
LPC based speech coders operating at bit rates below 3.0 kbits/sec are usually associated with buzzy or metallic artefacts in the synthetic speech .,bit rates,LPC based speech coders,FEATURE-OF
LPC based speech coders operating at bit rates below 3.0 kbits/sec are usually associated with buzzy or metallic artefacts in the synthetic speech .,buzzy or metallic artefacts,synthetic speech,FEATURE-OF
In this paper a new LPC vocoder is presented which splits the LPC excitation into two frequency bands using a variable cutoff frequency .,variable cutoff frequency,LPC excitation,USED-FOR
In this paper a new LPC vocoder is presented which splits the LPC excitation into two frequency bands using a variable cutoff frequency .,variable cutoff frequency,frequency bands,USED-FOR
"In doing so the coder 's performance during both mixed voicing speech and speech containing acoustic noise is greatly improved , producing soft natural sounding speech .",coder,soft natural sounding speech,USED-FOR
"In doing so the coder 's performance during both mixed voicing speech and speech containing acoustic noise is greatly improved , producing soft natural sounding speech .",mixed voicing speech,coder,USED-FOR
"In doing so the coder 's performance during both mixed voicing speech and speech containing acoustic noise is greatly improved , producing soft natural sounding speech .",speech containing acoustic noise,coder,USED-FOR
The paper also describes new parameter determination and quantisation techniques vital to the operation of this coder at such low bit rates .,parameter determination,quantisation techniques,CONJUNCTION
The paper also describes new parameter determination and quantisation techniques vital to the operation of this coder at such low bit rates .,parameter determination,coder,USED-FOR
The paper also describes new parameter determination and quantisation techniques vital to the operation of this coder at such low bit rates .,quantisation techniques,coder,USED-FOR
The paper also describes new parameter determination and quantisation techniques vital to the operation of this coder at such low bit rates .,low bit rates,coder,FEATURE-OF
"We consider a problem of blind source separation from a set of instantaneous linear mixtures , where the mixing matrix is unknown .",instantaneous linear mixtures,blind source separation,USED-FOR
"It was discovered recently , that exploiting the sparsity of sources in an appropriate representation according to some signal dictionary , dramatically improves the quality of separation .",signal dictionary,sparsity of sources,USED-FOR
"It was discovered recently , that exploiting the sparsity of sources in an appropriate representation according to some signal dictionary , dramatically improves the quality of separation .",quality of separation,sparsity of sources,EVALUATE-FOR
"In this work we use the property of multi scale transforms , such as wavelet or wavelet packets , to decompose signals into sets of local features with various degrees of sparsity .",wavelet or wavelet packets,multi scale transforms,HYPONYM-OF
The performance of the algorithm is verified on noise-free and noisy data .,noise-free and noisy data,algorithm,EVALUATE-FOR
"Experiments with simulated signals , musical sounds and images demonstrate significant improvement of separation quality over previously reported results .",simulated signals,musical sounds,CONJUNCTION
"Experiments with simulated signals , musical sounds and images demonstrate significant improvement of separation quality over previously reported results .",simulated signals,separation quality,EVALUATE-FOR
"Experiments with simulated signals , musical sounds and images demonstrate significant improvement of separation quality over previously reported results .",musical sounds,images,CONJUNCTION
"Experiments with simulated signals , musical sounds and images demonstrate significant improvement of separation quality over previously reported results .",musical sounds,separation quality,EVALUATE-FOR
"Experiments with simulated signals , musical sounds and images demonstrate significant improvement of separation quality over previously reported results .",images,separation quality,EVALUATE-FOR
"In this paper , we explore multilingual feature-level data sharing via Deep Neural Network -LRB- DNN -RRB- stacked bottleneck features .",Deep Neural Network -LRB- DNN -RRB- stacked bottleneck features,multilingual feature-level data sharing,USED-FOR
"Given a set of available source languages , we apply language identification to pick the language most similar to the target language , for more efficient use of multilingual resources .",language identification,multilingual resources,USED-FOR
Our experiments with IARPA-Babel languages show that bottleneck features trained on the most similar source language perform better than those trained on all available source languages .,those,bottleneck features,COMPARE
Further analysis suggests that only data similar to the target language is useful for multilingual training .,data,multilingual training,USED-FOR
"This article introduces a bidirectional grammar generation system called feature structure-directed generation , developed for a dialogue translation system .",bidirectional grammar generation system,dialogue translation system,USED-FOR
"This article introduces a bidirectional grammar generation system called feature structure-directed generation , developed for a dialogue translation system .",feature structure-directed generation,bidirectional grammar generation system,HYPONYM-OF
"This article introduces a bidirectional grammar generation system called feature structure-directed generation , developed for a dialogue translation system .",feature structure-directed generation,dialogue translation system,USED-FOR
The system utilizes typed feature structures to control the top-down derivation in a declarative way .,typed feature structures,system,USED-FOR
The system utilizes typed feature structures to control the top-down derivation in a declarative way .,typed feature structures,top-down derivation,USED-FOR
This generation system also uses disjunctive feature structures to reduce the number of copies of the derivation tree .,disjunctive feature structures,generation system,USED-FOR
This generation system also uses disjunctive feature structures to reduce the number of copies of the derivation tree .,disjunctive feature structures,derivation tree,USED-FOR
The grammar for this generator is designed to properly generate the speaker 's intention in a telephone dialogue .,grammar,generator,USED-FOR
The grammar for this generator is designed to properly generate the speaker 's intention in a telephone dialogue .,grammar,speaker 's intention,USED-FOR
The grammar for this generator is designed to properly generate the speaker 's intention in a telephone dialogue .,telephone dialogue,speaker 's intention,FEATURE-OF
Automatic image annotation is a newly developed and promising technique to provide semantic image retrieval via text descriptions .,Automatic image annotation,semantic image retrieval,USED-FOR
Automatic image annotation is a newly developed and promising technique to provide semantic image retrieval via text descriptions .,text descriptions,semantic image retrieval,USED-FOR
It concerns a process of automatically labeling the image contents with a pre-defined set of keywords which are exploited to represent the image semantics .,keywords,automatically labeling the image contents,USED-FOR
It concerns a process of automatically labeling the image contents with a pre-defined set of keywords which are exploited to represent the image semantics .,keywords,image semantics,USED-FOR
A Maximum Entropy Model-based approach to the task of automatic image annotation is proposed in this paper .,Maximum Entropy Model-based approach,automatic image annotation,USED-FOR
"In the phase of training , a basic visual vocabulary consisting of blob-tokens to describe the image content is generated at first ; then the statistical relationship is modeled between the blob-tokens and keywords by a Maximum Entropy Model constructed from the training set of labeled images .",visual vocabulary,image content,USED-FOR
"In the phase of training , a basic visual vocabulary consisting of blob-tokens to describe the image content is generated at first ; then the statistical relationship is modeled between the blob-tokens and keywords by a Maximum Entropy Model constructed from the training set of labeled images .",blob-tokens,visual vocabulary,PART-OF
"In the phase of training , a basic visual vocabulary consisting of blob-tokens to describe the image content is generated at first ; then the statistical relationship is modeled between the blob-tokens and keywords by a Maximum Entropy Model constructed from the training set of labeled images .",Maximum Entropy Model,statistical relationship,USED-FOR
"In the phase of annotation , for an unlabeled image , the most likely associated keywords are predicted in terms of the blob-token set extracted from the given image .",blob-token set,keywords,USED-FOR
We carried out experiments on a medium-sized image collection with about 5000 images from Corel Photo CDs .,Corel Photo CDs,medium-sized image collection,USED-FOR
"The experimental results demonstrated that the annotation performance of this method outperforms some traditional annotation methods by about 8 % in mean precision , showing a potential of the Maximum Entropy Model in the task of automatic image annotation .",method,annotation,USED-FOR
"The experimental results demonstrated that the annotation performance of this method outperforms some traditional annotation methods by about 8 % in mean precision , showing a potential of the Maximum Entropy Model in the task of automatic image annotation .",method,annotation methods,COMPARE
"The experimental results demonstrated that the annotation performance of this method outperforms some traditional annotation methods by about 8 % in mean precision , showing a potential of the Maximum Entropy Model in the task of automatic image annotation .",annotation methods,annotation,USED-FOR
"The experimental results demonstrated that the annotation performance of this method outperforms some traditional annotation methods by about 8 % in mean precision , showing a potential of the Maximum Entropy Model in the task of automatic image annotation .",mean precision,annotation methods,EVALUATE-FOR
"The experimental results demonstrated that the annotation performance of this method outperforms some traditional annotation methods by about 8 % in mean precision , showing a potential of the Maximum Entropy Model in the task of automatic image annotation .",Maximum Entropy Model,automatic image annotation,USED-FOR
However most of the works found in the literature have focused on identifying and understanding temporal expressions in newswire texts .,newswire texts,temporal expressions,FEATURE-OF
"In this paper we report our work on anchoring temporal expressions in a novel genre , emails .",emails,temporal expressions,FEATURE-OF
"The highly under-specified nature of these expressions fits well with our constraint-based representation of time , Time Calculus for Natural Language -LRB- TCNL -RRB- .",Time Calculus for Natural Language -LRB- TCNL -RRB-,constraint-based representation of time,HYPONYM-OF
"We have developed and evaluated a Temporal Expression Anchoror -LRB- TEA -RRB- , and the result shows that it performs significantly better than the baseline , and compares favorably with some of the closely related work .",it,baseline,COMPARE
"We address the problem of populating object category detection datasets with dense , per-object 3D reconstructions , bootstrapped from class labels , ground truth figure-ground segmentations and a small set of keypoint annotations .",object category detection datasets,per-object 3D reconstructions,USED-FOR
"We address the problem of populating object category detection datasets with dense , per-object 3D reconstructions , bootstrapped from class labels , ground truth figure-ground segmentations and a small set of keypoint annotations .",ground truth figure-ground segmentations,per-object 3D reconstructions,USED-FOR
"We address the problem of populating object category detection datasets with dense , per-object 3D reconstructions , bootstrapped from class labels , ground truth figure-ground segmentations and a small set of keypoint annotations .",ground truth figure-ground segmentations,keypoint annotations,CONJUNCTION
"We address the problem of populating object category detection datasets with dense , per-object 3D reconstructions , bootstrapped from class labels , ground truth figure-ground segmentations and a small set of keypoint annotations .",keypoint annotations,per-object 3D reconstructions,USED-FOR
"Our proposed algorithm first estimates camera viewpoint using rigid structure-from-motion , then reconstructs object shapes by optimizing over visual hull proposals guided by loose within-class shape similarity assumptions .",algorithm,camera viewpoint,USED-FOR
"Our proposed algorithm first estimates camera viewpoint using rigid structure-from-motion , then reconstructs object shapes by optimizing over visual hull proposals guided by loose within-class shape similarity assumptions .",algorithm,object shapes,USED-FOR
"Our proposed algorithm first estimates camera viewpoint using rigid structure-from-motion , then reconstructs object shapes by optimizing over visual hull proposals guided by loose within-class shape similarity assumptions .",rigid structure-from-motion,algorithm,USED-FOR
"Our proposed algorithm first estimates camera viewpoint using rigid structure-from-motion , then reconstructs object shapes by optimizing over visual hull proposals guided by loose within-class shape similarity assumptions .",visual hull proposals,object shapes,USED-FOR
"Our proposed algorithm first estimates camera viewpoint using rigid structure-from-motion , then reconstructs object shapes by optimizing over visual hull proposals guided by loose within-class shape similarity assumptions .",loose within-class shape similarity assumptions,visual hull proposals,USED-FOR
"We show that our method is able to produce convincing per-object 3D reconstructions on one of the most challenging existing object-category detection datasets , PASCAL VOC .",method,per-object 3D reconstructions,USED-FOR
"We show that our method is able to produce convincing per-object 3D reconstructions on one of the most challenging existing object-category detection datasets , PASCAL VOC .",object-category detection datasets,method,USED-FOR
"We show that our method is able to produce convincing per-object 3D reconstructions on one of the most challenging existing object-category detection datasets , PASCAL VOC .",PASCAL VOC,object-category detection datasets,HYPONYM-OF
Probabilistic models have been previously shown to be efficient and effective for modeling and recognition of human motion .,Probabilistic models,modeling and recognition of human motion,USED-FOR
In particular we focus on methods which represent the human motion model as a triangulated graph .,triangulated graph,human motion model,USED-FOR
Previous approaches learned models based just on positions and velocities of the body parts while ignoring their appearance .,positions,models,USED-FOR
Previous approaches learned models based just on positions and velocities of the body parts while ignoring their appearance .,positions,velocities,CONJUNCTION
Previous approaches learned models based just on positions and velocities of the body parts while ignoring their appearance .,velocities,models,USED-FOR
"Moreover , a heuristic approach was commonly used to obtain translation invariance .",heuristic approach,translation invariance,USED-FOR
In this paper we suggest an improved approach for learning such models and using them for human motion recognition .,approach,models,USED-FOR
In this paper we suggest an improved approach for learning such models and using them for human motion recognition .,them,human motion recognition,USED-FOR
"The suggested approach combines multiple cues , i.e. , positions , velocities and appearance into both the learning and detection phases .",approach,learning and detection phases,USED-FOR
"The suggested approach combines multiple cues , i.e. , positions , velocities and appearance into both the learning and detection phases .",positions,cues,HYPONYM-OF
"The suggested approach combines multiple cues , i.e. , positions , velocities and appearance into both the learning and detection phases .",positions,velocities,CONJUNCTION
"The suggested approach combines multiple cues , i.e. , positions , velocities and appearance into both the learning and detection phases .",velocities,cues,HYPONYM-OF
"The suggested approach combines multiple cues , i.e. , positions , velocities and appearance into both the learning and detection phases .",velocities,appearance,CONJUNCTION
"The suggested approach combines multiple cues , i.e. , positions , velocities and appearance into both the learning and detection phases .",appearance,cues,HYPONYM-OF
"Furthermore , we introduce global variables in the model , which can represent global properties such as translation , scale or viewpoint .",global variables,model,USED-FOR
"Furthermore , we introduce global variables in the model , which can represent global properties such as translation , scale or viewpoint .",global variables,global properties,USED-FOR
"Furthermore , we introduce global variables in the model , which can represent global properties such as translation , scale or viewpoint .",translation,global properties,HYPONYM-OF
"Furthermore , we introduce global variables in the model , which can represent global properties such as translation , scale or viewpoint .",translation,scale,CONJUNCTION
"Furthermore , we introduce global variables in the model , which can represent global properties such as translation , scale or viewpoint .",scale,global properties,HYPONYM-OF
"Furthermore , we introduce global variables in the model , which can represent global properties such as translation , scale or viewpoint .",scale,viewpoint,CONJUNCTION
"Furthermore , we introduce global variables in the model , which can represent global properties such as translation , scale or viewpoint .",viewpoint,global properties,HYPONYM-OF
The model is learned in an unsupervised manner from un-labelled data .,unsupervised manner,model,USED-FOR
The model is learned in an unsupervised manner from un-labelled data .,un-labelled data,unsupervised manner,USED-FOR
"We show that the suggested hybrid proba-bilistic model -LRB- which combines global variables , like translation , with local variables , like relative positions and appearances of body parts -RRB- , leads to : -LRB- i -RRB- faster convergence of learning phase , -LRB- ii -RRB- robustness to occlusions , and , -LRB- iii -RRB- higher recognition rate .",global variables,hybrid proba-bilistic model,USED-FOR
"We show that the suggested hybrid proba-bilistic model -LRB- which combines global variables , like translation , with local variables , like relative positions and appearances of body parts -RRB- , leads to : -LRB- i -RRB- faster convergence of learning phase , -LRB- ii -RRB- robustness to occlusions , and , -LRB- iii -RRB- higher recognition rate .",translation,global variables,HYPONYM-OF
"We show that the suggested hybrid proba-bilistic model -LRB- which combines global variables , like translation , with local variables , like relative positions and appearances of body parts -RRB- , leads to : -LRB- i -RRB- faster convergence of learning phase , -LRB- ii -RRB- robustness to occlusions , and , -LRB- iii -RRB- higher recognition rate .",relative positions,local variables,HYPONYM-OF
"We show that the suggested hybrid proba-bilistic model -LRB- which combines global variables , like translation , with local variables , like relative positions and appearances of body parts -RRB- , leads to : -LRB- i -RRB- faster convergence of learning phase , -LRB- ii -RRB- robustness to occlusions , and , -LRB- iii -RRB- higher recognition rate .",relative positions,appearances of body parts,CONJUNCTION
"We show that the suggested hybrid proba-bilistic model -LRB- which combines global variables , like translation , with local variables , like relative positions and appearances of body parts -RRB- , leads to : -LRB- i -RRB- faster convergence of learning phase , -LRB- ii -RRB- robustness to occlusions , and , -LRB- iii -RRB- higher recognition rate .",appearances of body parts,local variables,HYPONYM-OF
"We show that the suggested hybrid proba-bilistic model -LRB- which combines global variables , like translation , with local variables , like relative positions and appearances of body parts -RRB- , leads to : -LRB- i -RRB- faster convergence of learning phase , -LRB- ii -RRB- robustness to occlusions , and , -LRB- iii -RRB- higher recognition rate .",faster convergence,learning phase,FEATURE-OF
"We show that the suggested hybrid proba-bilistic model -LRB- which combines global variables , like translation , with local variables , like relative positions and appearances of body parts -RRB- , leads to : -LRB- i -RRB- faster convergence of learning phase , -LRB- ii -RRB- robustness to occlusions , and , -LRB- iii -RRB- higher recognition rate .",faster convergence,robustness,CONJUNCTION
"We show that the suggested hybrid proba-bilistic model -LRB- which combines global variables , like translation , with local variables , like relative positions and appearances of body parts -RRB- , leads to : -LRB- i -RRB- faster convergence of learning phase , -LRB- ii -RRB- robustness to occlusions , and , -LRB- iii -RRB- higher recognition rate .",robustness,recognition rate,CONJUNCTION
Factor analysis and principal components analysis can be used to model linear relationships between observed variables and linearly map high-dimensional data to a lower-dimensional hidden space .,Factor analysis,principal components analysis,CONJUNCTION
Factor analysis and principal components analysis can be used to model linear relationships between observed variables and linearly map high-dimensional data to a lower-dimensional hidden space .,Factor analysis,linear relationships between observed variables,USED-FOR
Factor analysis and principal components analysis can be used to model linear relationships between observed variables and linearly map high-dimensional data to a lower-dimensional hidden space .,principal components analysis,linear relationships between observed variables,USED-FOR
"We describe a nonlinear generalization of factor analysis , called `` product analy-sis '' , that models the observed variables as a linear combination of products of normally distributed hidden variables .",nonlinear generalization of factor analysis,observed variables,USED-FOR
"We describe a nonlinear generalization of factor analysis , called `` product analy-sis '' , that models the observed variables as a linear combination of products of normally distributed hidden variables .",`` product analy-sis '',nonlinear generalization of factor analysis,HYPONYM-OF
"We describe a nonlinear generalization of factor analysis , called `` product analy-sis '' , that models the observed variables as a linear combination of products of normally distributed hidden variables .",linear combination of products of normally distributed hidden variables,nonlinear generalization of factor analysis,USED-FOR
"Just as factor analysis can be viewed as unsupervised linear regression on unobserved , normally distributed hidden variables , product analysis can be viewed as unsupervised linear regression on products of unobserved , normally distributed hidden variables .",unsupervised linear regression,factor analysis,USED-FOR
"Just as factor analysis can be viewed as unsupervised linear regression on unobserved , normally distributed hidden variables , product analysis can be viewed as unsupervised linear regression on products of unobserved , normally distributed hidden variables .",unsupervised linear regression,product analysis,USED-FOR
"The mapping between the data and the hidden space is nonlinear , so we use an approximate variational technique for inference and learning .",approximate variational technique,inference,USED-FOR
"The mapping between the data and the hidden space is nonlinear , so we use an approximate variational technique for inference and learning .",approximate variational technique,learning,USED-FOR
"The mapping between the data and the hidden space is nonlinear , so we use an approximate variational technique for inference and learning .",inference,learning,CONJUNCTION
"Since product analysis is a generalization of factor analysis , product analysis always finds a higher data likelihood than factor analysis .",product analysis,generalization of factor analysis,HYPONYM-OF
"Since product analysis is a generalization of factor analysis , product analysis always finds a higher data likelihood than factor analysis .",product analysis,factor analysis,COMPARE
We give results on pattern recognition and illumination-invariant image clustering .,pattern recognition,illumination-invariant image clustering,CONJUNCTION
This paper describes a domain independent strategy for the multimedia articulation of answers elicited by a natural language interface to database query applications .,domain independent strategy,multimedia articulation of answers,USED-FOR
This paper describes a domain independent strategy for the multimedia articulation of answers elicited by a natural language interface to database query applications .,multimedia articulation of answers,natural language interface,USED-FOR
This paper describes a domain independent strategy for the multimedia articulation of answers elicited by a natural language interface to database query applications .,natural language interface,database query applications,USED-FOR
Multimedia answers include videodisc images and heuristically-produced complete sentences in text or text-to-speech form .,videodisc images,Multimedia answers,PART-OF
Deictic reference and feedback about the discourse are enabled .,Deictic reference,feedback,CONJUNCTION
Deictic reference and feedback about the discourse are enabled .,Deictic reference,discourse,FEATURE-OF
Deictic reference and feedback about the discourse are enabled .,feedback,discourse,FEATURE-OF
The LOGON MT demonstrator assembles independently valuable general-purpose NLP components into a machine translation pipeline that capitalizes on output quality .,LOGON MT demonstrator,general-purpose NLP components,USED-FOR
The LOGON MT demonstrator assembles independently valuable general-purpose NLP components into a machine translation pipeline that capitalizes on output quality .,general-purpose NLP components,machine translation pipeline,PART-OF
"The demonstrator embodies an interesting combination of hand-built , symbolic resources and stochastic processes .","hand-built , symbolic resources",demonstrator,PART-OF
"The demonstrator embodies an interesting combination of hand-built , symbolic resources and stochastic processes .","hand-built , symbolic resources",stochastic processes,CONJUNCTION
"The demonstrator embodies an interesting combination of hand-built , symbolic resources and stochastic processes .",stochastic processes,demonstrator,PART-OF
"We describe both the syntax and semantics of a general propositional language of context , and give a Hilbert style proof system for this language .",syntax,semantics,CONJUNCTION
"We describe both the syntax and semantics of a general propositional language of context , and give a Hilbert style proof system for this language .",syntax,propositional language of context,FEATURE-OF
"We describe both the syntax and semantics of a general propositional language of context , and give a Hilbert style proof system for this language .",semantics,propositional language of context,FEATURE-OF
"We describe both the syntax and semantics of a general propositional language of context , and give a Hilbert style proof system for this language .",Hilbert style proof system,language,USED-FOR
A propositional logic of context extends classical propositional logic in two ways .,classical propositional logic,propositional logic of context,USED-FOR
Image matching is a fundamental problem in Computer Vision .,Image matching,Computer Vision,HYPONYM-OF
