entity1,entity2,relation_type
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
approach,full parsing,USED-FOR
full parsing,Information Extraction,USED-FOR
,,USED-FOR
,,PART-OF
the system,of the graphic,USED-FOR
,,USED-FOR
,,USED-FOR
Graphical models,computer vision problems,USED-FOR
Bayesian Networks -LRB- BNs -RRB-,Graphical models,HYPONYM-OF
,difficult to acquire,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,COMPARE
,,PART-OF
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
modal language LT,constraints on trees,USED-FOR
extension LT -LRB- LF -RRB-,constraints on trees decorated with feature structures,USED-FOR
.,,USED-FOR
,,USED-FOR
clustering,inducing semantic verb classes,USED-FOR
undisambiguated corpus data,clustering,USED-FOR
,.,PART-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,FEATURE-OF
pan-tilt-zoom -LRB- PTZ -RRB- cameras,panoramic area,USED-FOR
pan-tilt-zoom -LRB- PTZ -RRB- cameras,high resolution imagery,USED-FOR
PTZ cameras,automated surveillance systems,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,FEATURE-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,FEATURE-OF
,,FEATURE-OF
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
two-pass algorithm,Extra Large -LRB- more than 1M words -RRB- Vocabulary COntinuous Speech recognition,USED-FOR
Information Retrieval -LRB- ELVIRCOS -RRB-,two-pass algorithm,USED-FOR
,,HYPONYM-OF
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
uniform color and,regions with,CONJUNCTION
to detect structures in the,"properties ,",USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
framework,word alignment,USED-FOR
log-linear models,framework,USED-FOR
source langauge,target language,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,COMPARE
Hough voting,spatial verification,USED-FOR
geometric transformation space,Hough voting,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
bispectral photo-metric stereo,shape reconstruction,USED-FOR
fluorescence,bispectral photo-metric stereo,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
approach,visual representation,USED-FOR
raw spatiotemporal signals in videos,visual representation,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,EVALUATE-FOR
,,USED-FOR
,,CONJUNCTION
,,EVALUATE-FOR
explanation system,discourse plans,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
,,EVALUATE-FOR
cognito-pragmatic nature,operable definition,FEATURE-OF
,,HYPONYM-OF
,,USED-FOR
,,PART-OF
,,HYPONYM-OF
as,",",USED-FOR
,as,PART-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
Interpreting metaphors,human understanding of natural language,HYPONYM-OF
mappings,,USED-FOR
,,USED-FOR
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,PART-OF
,,CONJUNCTION
,,CONJUNCTION
,,PART-OF
,,USED-FOR
,,USED-FOR
bilingual corpora,method to automatically acquire paraphrases,USED-FOR
bilingual dependency relations,method to automatically acquire paraphrases,USED-FOR
monolingual dependency parse,bilingual dependency relations,USED-FOR
statistical alignment techniques,bilingual dependency relations,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
Stabler 's formalization of Chomsky 's minimalist program,logical definition of Minimalist grammars,HYPONYM-OF
a parsing-as-deduction,based on,USED-FOR
type-unification,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
approaches,information extraction,USED-FOR
information extraction,token classification task,HYPONYM-OF
tagging strategies,token classification task,USED-FOR
,,COMPARE
text,,USED-FOR
,text,PART-OF
,text,PART-OF
,text,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
,,FEATURE-OF
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
conditions are reported .,WSJ and,EVALUATE-FOR
,WSJ and,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
co-occurrence pattern,"object , scene , and action recognition",USED-FOR
binary or local features,co-occurrence pattern,PART-OF
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,PART-OF
,,COMPARE
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
classifiers,language processing tasks,USED-FOR
maximum entropy classifiers,classifiers,HYPONYM-OF
maximum entropy classifiers,boosting,CONJUNCTION
boosting,classifiers,HYPONYM-OF
boosting,SVMs,CONJUNCTION
SVMs,classifiers,HYPONYM-OF
,,HYPONYM-OF
,,COMPARE
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
Discourse Representation Theory,French tenses,USED-FOR
it,IMS,USED-FOR
,,USED-FOR
in,of the preceeding text,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,USED-FOR
,,COMPARE
electronic discussions,help-desk applications,PART-OF
,,FEATURE-OF
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,HYPONYM-OF
method,word sense disambiguation,USED-FOR
parallel corpora,method,USED-FOR
of,supported by,USED-FOR
of,aligned wordnets,USED-FOR
supported by,aligned wordnets,CONJUNCTION
languages in the corpus .,of,USED-FOR
,of,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
images,projective reconstruction,USED-FOR
,,FEATURE-OF
Natural Language Processing -LRB- NLP -RRB- system,new domain,USED-FOR
grammar,idiosyncracies of the new sublanguage,USED-FOR
,,PART-OF
,,CONJUNCTION
,,PART-OF
method,relations between representations,USED-FOR
feature structures,relations between representations,USED-FOR
approach,method,COMPARE
,,FEATURE-OF
distributed message-passing infrastructure,dialogue systems,USED-FOR
limited-memory stochastic block BFGS update,incorporating enriched curvature information in stochastic approximation methods,USED-FOR
compressed,"Hessian , i.e.",USED-FOR
,compressed,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,FEATURE-OF
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
spoken language system,interactive problem solving,USED-FOR
voice input,interactive problem solving,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
Spelling-checkers,text processing software,PART-OF
,.,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,HYPONYM-OF
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
unsupervised and supervised case,it,EVALUATE-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
non-uniform sampling strategies,stochastic optimization algorithms,USED-FOR
linear convergence,stochastic optimization algorithms,FEATURE-OF
Stochastic Variance Reduced Gradient -LRB- SVRG -RRB-,stochastic optimization algorithms,HYPONYM-OF
Stochastic Variance Reduced Gradient -LRB- SVRG -RRB-,Stochastic Dual Coordinate Ascent -LRB- SDCA -RRB-,CONJUNCTION
Stochastic Dual Coordinate Ascent -LRB- SDCA -RRB-,stochastic optimization algorithms,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
task,morphologically rich languages,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,COMPARE
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
user modeling,cooperative responses,USED-FOR
user modeling,spoken dialogue systems,PART-OF
more,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
method,building polarity-tagged corpus,USED-FOR
HTML documents,method,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
monolingual parallel corpora,paraphrases,USED-FOR
,available,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,PART-OF
software,domain-independent means of evaluating Spoken Language Systems -LRB- SLS -RRB-,PART-OF
software,specifications,CONJUNCTION
specifications,domain-independent means of evaluating Spoken Language Systems -LRB- SLS -RRB-,PART-OF
specifications,answer expressions,USED-FOR
,,USED-FOR
unsupervised learning method,associative relationships between verb phrases,USED-FOR
associative relationships between verb phrases,Q&A systems,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
text data,language models,USED-FOR
web,text data,FEATURE-OF
language models,Automatic Speech Recognition,USED-FOR
language models,Keyword Search,USED-FOR
Automatic Speech Recognition,Keyword Search,CONJUNCTION
Low Resource Languages,Automatic Speech Recognition,USED-FOR
Low Resource Languages,Keyword Search,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
architectural modules,language functionalities,USED-FOR
referring expressions,language functionalities,HYPONYM-OF
referring expressions,lexical choice,CONJUNCTION
lexical choice,language functionalities,HYPONYM-OF
lexical choice,revision,CONJUNCTION
revision,language functionalities,HYPONYM-OF
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,EVALUATE-FOR
system,scenes descriptions in natural language,USED-FOR
",",analyzer,PART-OF
Dependency Theory,",",PART-OF
Dependency Theory,,CONJUNCTION
.,Dependency Theory,USED-FOR
,",",PART-OF
,,CONJUNCTION
,,USED-FOR
,",",PART-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,COMPARE
,,PART-OF
,,USED-FOR
,,HYPONYM-OF
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,HYPONYM-OF
model,class of languages,USED-FOR
reduplication,context-free languages,USED-FOR
new,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
unsupervised clustering,image set classification algorithm,USED-FOR
labeled training and unla-beled test data,unsupervised clustering,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
computational problems,probabilistic translation models,FEATURE-OF
probabilistic translation models,machine translation,USED-FOR
,,FEATURE-OF
Active shape models,complex image data,USED-FOR
,and gainful way .,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
statistical techniques,ranking,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,HYPONYM-OF
,,COMPARE
,,PART-OF
structured dictionary,editor,USED-FOR
valid,,USED-FOR
,,USED-FOR
domain specific terms,internal and contextual information,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
method,systematic patterns in translation data,USED-FOR
part-of-speech tag sequences,method,USED-FOR
our,be used,PART-OF
be used,patterns in machine,USED-FOR
,,USED-FOR
number of hidden layers,multilayer neu-ral network,USED-FOR
threshold units,number of hidden layers,USED-FOR
,,HYPONYM-OF
approach,"intrinsic texture properties -LRB- albedo , shading , normal -RRB- of scenes",USED-FOR
multiple view acquisition,"intrinsic texture properties -LRB- albedo , shading , normal -RRB- of scenes",USED-FOR
unknown illumination conditions,multiple view acquisition,FEATURE-OF
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
automatic evaluation,machine translation,EVALUATE-FOR
automatic evaluation,document summarization,EVALUATE-FOR
machine translation,document summarization,CONJUNCTION
measure,approach,USED-FOR
measure,automatically evaluating answers to definition questions,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,COMPARE
Automatic Speech Recognition technology,dialog systems,USED-FOR
,,PART-OF
,,COMPARE
,,USED-FOR
,,USED-FOR
raw text in French,tool,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
,,FEATURE-OF
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
,,CONJUNCTION
,,COMPARE
,,COMPARE
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
document oriented preference sets -LRB- DoPS -RRB-,disambiguation of the dependency structure,USED-FOR
,,USED-FOR
,,COMPARE
,,FEATURE-OF
parsing,Multimodal interfaces,USED-FOR
a,compose inputs,USED-FOR
,compose inputs,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
SUMMIT,phonetically-based spoken language understanding system,HYPONYM-OF
mathematical tools,within a,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
tagged text corpus,program,EVALUATE-FOR
method,relative pose of two calibrated or uncalibrated non-overlapping surveillance cameras,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
human action recognition system,embedded computer vision applications,USED-FOR
embedded computer vision applications,security systems,USED-FOR
embedded computer vision applications,human-computer interaction,USED-FOR
embedded computer vision applications,intelligent environments,USED-FOR
security systems,human-computer interaction,CONJUNCTION
human-computer interaction,intelligent environments,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
uniform processing,model of grammatical processing,USED-FOR
knowledge sources,model of grammatical processing,USED-FOR
knowledge sources,uniform processing,CONJUNCTION
,,CONJUNCTION
,,HYPONYM-OF
,,HYPONYM-OF
,,USED-FOR
Link detection,Topic Detection and Tracking tasks of new event detection,USED-FOR
both systems .,,CONJUNCTION
both systems .,,HYPONYM-OF
,,HYPONYM-OF
,both systems .,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,CONJUNCTION
,,PART-OF
psy-chophysical and machine learning techniques,visual classification,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,FEATURE-OF
,,COMPARE
corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system,Dutch,USED-FOR
statistical classification,corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system,PART-OF
maximum entropy,corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system,PART-OF
linguistic information,corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system,PART-OF
linguistic information,maximum entropy,CONJUNCTION
,,COMPARE
,,USED-FOR
,,FEATURE-OF
,,COMPARE
,,EVALUATE-FOR
coarse-to-fine energy minimization strategy,semantic video segmenta-tion,USED-FOR
level of the hierarchy by minimizing,energy,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,EVALUATE-FOR
,,FEATURE-OF
,,COMPARE
ensemble methods,machine learning,USED-FOR
ensemble methods,natural language processing,USED-FOR
multi-strategy and multi-source approach,question answering,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
Word Identification,Chinese Natural Language Processing,HYPONYM-OF
",",,USED-FOR
newspapers,",",USED-FOR
,,HYPONYM-OF
,",",USED-FOR
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,CONJUNCTION
,,PART-OF
Paul,computer text generation system,HYPONYM-OF
computer text generation system,cohesive text,USED-FOR
lexical substitutions,Paul,USED-FOR
,,COMPARE
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
framework,online multiclass learning,USED-FOR
notion of hypothesis sharing,framework,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
supervised machine learning,statistical models of WH-questions,USED-FOR
.,represent,USED-FOR
labeled directed graph,linguistic structures,USED-FOR
labeled directed graph,NLP tasks,USED-FOR
this,NLP tasks,USED-FOR
using,-RRB-,USED-FOR
,using,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
linguistic information,ambiguity,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,COMPARE
,,EVALUATE-FOR
,,USED-FOR
machine-readable resources,word-sense ambiguity,USED-FOR
machine-readable resources,construction of large-scale knowledge sources,USED-FOR
resulting,97.9 %,EVALUATE-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
TIPSTER Architecture,text applications,USED-FOR
common text processing modules,text applications,USED-FOR
the TIPSTER,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,PART-OF
,,HYPONYM-OF
,,PART-OF
Lagrangian Particle Dynamics,segmentation of high density crowd flows,USED-FOR
Lagrangian Particle Dynamics,detection of flow instabilities,USED-FOR
segmentation of high density crowd flows,detection of flow instabilities,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,PART-OF
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
evaluation measures,machine translation,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,COMPARE
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,CONJUNCTION
Rete and Treat algorithms,implementation techniques,HYPONYM-OF
Rete and Treat algorithms,Forward Chaining rule systems,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
method,error correction,USED-FOR
ill-formed input,error correction,USED-FOR
,,USED-FOR
,,USED-FOR
linear Fukunaga-Koontz Transform -LRB- FKT -RRB-,discriminative subspaces building approach,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
,,EVALUATE-FOR
,,USED-FOR
between,of entailment,COMPARE
of entailment,"asymmetric ,",USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
shape matching problem,point cloud matching,USED-FOR
shape representation,point clouds,USED-FOR
Schrödinger distance transform -LRB- SDT -RRB- representation,shape representation,HYPONYM-OF
,,HYPONYM-OF
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
natural language processing,trend survey on Japanese natural language processing studies,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
ontology,system,USED-FOR
,,USED-FOR
dialogue management,information navigation system,USED-FOR
document knowledge base,information navigation system,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,FEATURE-OF
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
annotating scheme,honorifics,USED-FOR
honorifics,respectful words,HYPONYM-OF
ranks,the,USED-FOR
,,USED-FOR
,,USED-FOR
distributed neural networks,Visually-guided arm reaching movements,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,FEATURE-OF
base classifiers,ensemble,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
algorithm,dimensional container packing problem,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
approaches,object category recognition,USED-FOR
datasets,approaches,USED-FOR
on,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
speech processing,Human-Machine Communication,CONJUNCTION
Natural Language Processing,Human-Machine Communication,HYPONYM-OF
Natural Language Processing,Non Verbal and Multimodal Communication,CONJUNCTION
Non Verbal and Multimodal Communication,Human-Machine Communication,HYPONYM-OF
lookup table representations,analytical expressions,USED-FOR
pronominal anaphora resolution module,Lucy,PART-OF
Lucy,English understanding system,HYPONYM-OF
general and domain corpora,unsupervised automatic acquisition of Italian and English verb subcategorization frames -LRB- SCFs -RRB-,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
Graph-cuts optimization,vision and graphics problems,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
Intersection-over-Union -LRB- IoU -RRB- measure,evaluation function,HYPONYM-OF
Intersection-over-Union -LRB- IoU -RRB- measure,image segmentation systems,EVALUATE-FOR
,candidate solutions,HYPONYM-OF
,candidate solutions,HYPONYM-OF
,,USED-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,HYPONYM-OF
transfer phase,machine translation -LRB- MT -RRB- systems,PART-OF
transfer phase,analysis,COMPARE
transfer phase,generation,COMPARE
analysis,generation,CONJUNCTION
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
optimal alignment of non-rigid surfaces,temporally consistent representation,USED-FOR
multi-view video observations,optimal alignment of non-rigid surfaces,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
MT architectural designs,translation of English text into American Sign Language -LRB- ASL -RRB- animation,USED-FOR
. '',,USED-FOR
,. '',USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,PART-OF
,,PART-OF
GPSG grammatical formalism,extension,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
approach,localizing functional objects,USED-FOR
surveillance videos,localizing functional objects,USED-FOR
semantic object classes,domain knowledge,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,CONJUNCTION
process model,hierarchical perceptual sound organization,USED-FOR
perceptual sounds,incoming sound signals,PART-OF
,,USED-FOR
,,FEATURE-OF
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
word sense disambigation models,statistical machine translation quality,USED-FOR
alone .,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
Image sequence processing techniques,"exchange , growth , and transport processes",USED-FOR
environmental physics,biology,CONJUNCTION
field,dynamical changes of the moving,EVALUATE-FOR
dynamical changes of the moving,of,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,EVALUATE-FOR
