entity1,entity2,relation_type
Child Language Data Exchange System -LRB- CHILDES -RRB-,corpus,FEATURE-OF
data collection,transcription,CONJUNCTION
data collection,corpus,USED-FOR
transcription,word segmentation,CONJUNCTION
transcription,corpus,USED-FOR
word segmentation,part-of-speech annotation,CONJUNCTION
word segmentation,corpus,USED-FOR
part-of-speech annotation,corpus,USED-FOR
hierarchy of phrasal patterns,dictionary word sense definitions,USED-FOR
mechanism,system,PART-OF
restricted vocabulary,it,USED-FOR
restricted vocabulary,word sense definitions,USED-FOR
restricted vocabulary,classification of new word senses,USED-FOR
robustness problems,natural language processing systems,FEATURE-OF
incomplete lexicon,robustness problems,HYPONYM-OF
incomplete knowledge of phrasal constructions,robustness problems,HYPONYM-OF
approach,word segmentation system,USED-FOR
approach,word breaking,USED-FOR
approach,OOV identification,USED-FOR
word breaking,OOV identification,CONJUNCTION
PK-open,segmentation bakeoff,HYPONYM-OF
PK-open,PK-closed,CONJUNCTION
PK-closed,segmentation bakeoff,HYPONYM-OF
PK-closed,AS-open,CONJUNCTION
AS-open,segmentation bakeoff,HYPONYM-OF
AS-open,AS-closed,CONJUNCTION
AS-closed,segmentation bakeoff,HYPONYM-OF
AS-closed,HK-open,CONJUNCTION
HK-open,segmentation bakeoff,HYPONYM-OF
HK-open,HK-closed,CONJUNCTION
HK-closed,segmentation bakeoff,HYPONYM-OF
HK-closed,MSR-open,CONJUNCTION
MSR-open,segmentation bakeoff,HYPONYM-OF
MSR-open,MSR - closed,CONJUNCTION
MSR - closed,segmentation bakeoff,HYPONYM-OF
MSR-open,MSR-close,CONJUNCTION
MSR-close,PK-open,CONJUNCTION
method,interactively visualizing and directing the process of translating,USED-FOR
method,model,USED-FOR
model,syntax-based statistical machine translation -LRB- MT -RRB-,USED-FOR
it,MT systems,COMPARE
visualization method,MT system,USED-FOR
method,sense resolution,USED-FOR
WordNet,method,USED-FOR
WordNet,on-line lexical database,HYPONYM-OF
semantic relations,WordNet,PART-OF
synonymy,semantic relations,HYPONYM-OF
synonymy,antonymy,CONJUNCTION
antonymy,semantic relations,HYPONYM-OF
antonymy,hyponymy,CONJUNCTION
hyponymy,semantic relations,HYPONYM-OF
hyponymy,meronymy,CONJUNCTION
meronymy,semantic relations,HYPONYM-OF
meronymy,causal and troponymic entailment,CONJUNCTION
causal and troponymic entailment,semantic relations,HYPONYM-OF
WordNet,semantically related words,USED-FOR
semantically related words,sense resolution,USED-FOR
sense resolution,text processing,USED-FOR
WordNet,semantic distance,USED-FOR
procedure,information retrieval,USED-FOR
procedure,mechanical translation,USED-FOR
procedure,intelligent tutoring systems,USED-FOR
information retrieval,mechanical translation,CONJUNCTION
mechanical translation,intelligent tutoring systems,CONJUNCTION
interlingual approach,MT,USED-FOR
Mu-project,MT,USED-FOR
transfer approach,Mu-project,USED-FOR
transfer phase,system,PART-OF
transfer phase,system,PART-OF
Multiple Layer of Grammars,principles,PART-OF
Multiple Layer of Grammars,Multiple Layer Presentation,CONJUNCTION
Multiple Layer Presentation,principles,PART-OF
Multiple Layer Presentation,Lexicon Driven Processing,CONJUNCTION
Lexicon Driven Processing,principles,PART-OF
Lexicon Driven Processing,Form-Oriented Dictionary Description,CONJUNCTION
Form-Oriented Dictionary Description,principles,PART-OF
principles,system,PART-OF
method,discourse segmentation,USED-FOR
abduction of temporal relations,discourse segmentation,USED-FOR
temporal anaphora resolution,method,USED-FOR
shallow techniques,deep processing,USED-FOR
linguistic PoS tagger and chunker,broad coverage unification based grammar of Spanish,PART-OF
broad coverage unification based grammar of Spanish,NLP system,USED-FOR
system,linguistic processing,USED-FOR
robustness,system,EVALUATE-FOR
accuracy,system,EVALUATE-FOR
accuracy,precision,CONJUNCTION
precision,system,EVALUATE-FOR
Joint image filters,suppressing noise,USED-FOR
Joint image filters,enhancing spatial resolution,USED-FOR
guidance image,Joint image filters,USED-FOR
suppressing noise,enhancing spatial resolution,CONJUNCTION
explicit filter construction,Existing methods,USED-FOR
explicit filter construction,hand-designed objective functions,CONJUNCTION
hand-designed objective functions,Existing methods,USED-FOR
coherent framework,them,USED-FOR
learning-based approach,joint filter,USED-FOR
Convolution-al Neural Networks,learning-based approach,USED-FOR
methods,method,COMPARE
guidance image,methods,USED-FOR
method,transfer salient structures,USED-FOR
model,modalities,USED-FOR
data,model,USED-FOR
RGB and depth images,data,HYPONYM-OF
Flash/Non-Flash and RGB/NIR images,modalities,HYPONYM-OF
joint filter,state-of-the-art methods,COMPARE
display of graphical information,cognitively well-motivated interfaces,USED-FOR
natural language generation,interaction,USED-FOR
manually sense-tagged data,supervised learning,USED-FOR
approach,sense-tagged training data,USED-FOR
approach,nouns,USED-FOR
English-Chinese parallel corpora,sense-tagged training data,USED-FOR
nouns,SENSEVAL-2 English lexical sample task,PART-OF
method,acquiring sense-tagged data,USED-FOR
sense coverage,manually sense-tagged data,FEATURE-OF
domain dependence,evaluating WSD programs,FEATURE-OF
quantification over events,temporal anaphora,PART-OF
Discourse Representation Theory,temporal anaphora,USED-FOR
temporal connective,subordinate clause,PART-OF
Generalized Quantifier approach,problem,USED-FOR
solution,problem,USED-FOR
DRT,problem,USED-FOR
solution,temporal anaphora phenomena,USED-FOR
quantified sentences,solution,USED-FOR
correlation of dependency relation paths,answer extraction,USED-FOR
correlation measure,dependency relations,USED-FOR
mapping score,correlation measure,PART-OF
correlations,Maximum Entropy-based ranking model,PART-OF
method,syntactic relation-based methods,COMPARE
MRR,method,EVALUATE-FOR
MRR,syntactic relation-based methods,EVALUATE-FOR
Evaluation,approaches,USED-FOR
methodology,evaluation of SLS systems,EVALUATE-FOR
methodology,SLS systems,EVALUATE-FOR
evaluations,NL evaluations,HYPONYM-OF
evaluations,Message Understanding Conferences,CONJUNCTION
`` black-box '' methodology,automatic evaluation of question-answering NL systems,EVALUATE-FOR
speech or text input,it,USED-FOR
autonomous pipeline,personalized parametric model -LRB- pose-driven avatar -RRB-,USED-FOR
single depth sensor,autonomous pipeline,USED-FOR
human template,template fitting techniques,USED-FOR
watertight models,parametric model,USED-FOR
SCAPE method,parametric model,USED-FOR
it,anim-itable avatar,USED-FOR
it,dynamic 3D models,USED-FOR
single-view depth videos,dynamic 3D models,USED-FOR
system,dynamic models,USED-FOR
algorithm,on-line interference effects,USED-FOR
Global Navigation Satellite System -LRB- GNSS -RRB-,Inertial Navigation System -LRB- INS -RRB-,CONJUNCTION
Extended Kalman Filter -LRB- EKF -RRB-,GNSS/INS coupling,USED-FOR
Extended Kalman Filter -LRB- EKF -RRB-,accurate and robust localization,USED-FOR
EKF outputs,covariance,FEATURE-OF
least square estimate,variance jumps,USED-FOR
estimation,Bayesian test,USED-FOR
simulated data,approach,EVALUATE-FOR
unified variational formulation,joint motion estimation and segmentation,USED-FOR
explicit occlusion handling,unified variational formulation,USED-FOR
convex formulation,multi-label Potts model,USED-FOR
asymmetric map-uniqueness criterion,formulation,PART-OF
convex constraints,formulation,USED-FOR
primal-dual algorithm,motion segments,USED-FOR
approaches,monocular nonrigid 3D reconstruction,USED-FOR
Template-based methods,approaches,HYPONYM-OF
Template-based methods,Non-rigid Structure from Motion techniques,CONJUNCTION
Non-rigid Structure from Motion techniques,approaches,HYPONYM-OF
ones,poorly-textured surfaces,USED-FOR
3D shape model,they,USED-FOR
template-free approach,"poorly-textured , deformable surface",USED-FOR
surface isometry,3D reconstruction,USED-FOR
joint problem of non-rigid image registration and depth estimation,3D reconstruction,USED-FOR
approach,state-of-the-art techniques,COMPARE
3D reconstructions,approach,EVALUATE-FOR
3D reconstructions,state-of-the-art techniques,EVALUATE-FOR
image classification,computer vision applications,HYPONYM-OF
image classification,video indexing,CONJUNCTION
video indexing,computer vision applications,HYPONYM-OF
multi-label classification problems,computer vision applications,USED-FOR
hypergraph regu-larization,multi-label classification approach,FEATURE-OF
SVM like learning system,multi-label classification problems,USED-FOR
hypergraph regularization,SVM like learning system,PART-OF
Rank-HLapSVM,SVM like learning system,HYPONYM-OF
dual coordinate descent method,optimization problem,USED-FOR
real datasets,algorithm,EVALUATE-FOR
ImageCLEF,real datasets,HYPONYM-OF
ImageCLEF,Me-diaMill,CONJUNCTION
Me-diaMill,real datasets,HYPONYM-OF
convex optimization problem,segmenting sequential data,USED-FOR
segmenting sequential data,outliers,USED-FOR
algorithms,problem,USED-FOR
outliers,Robustness,FEATURE-OF
real-world tasks,Robustness,EVALUATE-FOR
speech segmentation,Robustness,EVALUATE-FOR
speech segmentation,real-world tasks,FEATURE-OF
algorithms,baseline seg-mentation algorithms,COMPARE
Halliday 's systemic networks,feature-based partial descriptions,USED-FOR
consistency checking,descriptions,USED-FOR
Yoopick,combinatorial sports prediction market,HYPONYM-OF
Yoopick,fine-grained probabilistic estimation of outcomes,USED-FOR
flexible betting language,Yoopick,USED-FOR
discriminative patches,unsupervised mid-level visual representation,USED-FOR
image patches,unsupervised discriminative clustering problem,USED-FOR
cross-validation,overfitting,USED-FOR
discriminative patches,unsupervised mid-level visual representation,USED-FOR
it,discriminative patches,USED-FOR
discrim-inative patches,supervised regime,USED-FOR
scene classification,supervised regime,HYPONYM-OF
MIT Indoor-67 dataset,they,EVALUATE-FOR
algorithm,translation lexicon acquisition -LRB- SABLE -RRB-,USED-FOR
algorithm,general translation lexicons,USED-FOR
algorithm,domain-specific translation lexicons,USED-FOR
computational model,word segmentation,USED-FOR
computational model,realistic acquisition,USED-FOR
cognitive psychology,statistical learning mechanisms,USED-FOR
cognitive psychology,linguistics,CONJUNCTION
linguistics,statistical learning mechanisms,USED-FOR
model-based policy search approach,reinforcement learning -LRB- RL -RRB-,USED-FOR
Markov decision process,policies,USED-FOR
model,high-dimensional continuous-state tasks,USED-FOR
algorithm,policy,USED-FOR
real-life trials,model-free RL,USED-FOR
approximate model,hybrid algorithm,USED-FOR
real-life trials,approximate model,USED-FOR
real-life trials,policy evaluations,USED-FOR
crude model,real-life trials,CONJUNCTION
crude model,algorithm,USED-FOR
real-life trials,algorithm,USED-FOR
computational lexicon,natural language system,USED-FOR
COMPLEX,computational lexicon,HYPONYM-OF
COMPLEX,Natural Language Processing -LRB- NLP -RRB- systems,USED-FOR
sentence scoping,tasks,PART-OF
syntactic structure,speech acts,USED-FOR
SPoT,sentence planner,HYPONYM-OF
methodology,SPoT,USED-FOR
randomized sentence-plan-generator -LRB- SPG -RRB-,sentence plans,USED-FOR
text-plan input,randomized sentence-plan-generator -LRB- SPG -RRB-,USED-FOR
sentence-plan-ranker -LRB- SPR -RRB-,sentence plans,USED-FOR
ranking rules,SPR,USED-FOR
SPR,sentence plan,USED-FOR
sentence plan,top human-ranked sentence plan,COMPARE
maximum a posteriori estimation,continuous density hidden Markov models -LRB- CDHMM -RRB-,USED-FOR
forward-backward algorithm,MLE reestimation algorithms,HYPONYM-OF
segmental k-means algorithm,MLE reestimation algorithms,HYPONYM-OF
segmental k-means algorithm,forward-backward algorithm,CONJUNCTION
reestimation formulas,HMM with Gaussian mixture observation densities,USED-FOR
Bayesian learning,speech recognition applications,USED-FOR
parameter smoothing,speech recognition applications,HYPONYM-OF
parameter smoothing,speaker adaptation,CONJUNCTION
speaker adaptation,speech recognition applications,HYPONYM-OF
speaker adaptation,speaker group modeling,CONJUNCTION
speaker group modeling,speech recognition applications,HYPONYM-OF
speaker group modeling,corrective training,CONJUNCTION
corrective training,speech recognition applications,HYPONYM-OF
applications,MAP estimation approach,EVALUATE-FOR
it,word-based system,COMPARE
avoiding pre-processing distortion,character-based collocation system,FEATURE-OF
avoiding pre-processing distortion,accessing sub-lexical information,CONJUNCTION
accessing sub-lexical information,character-based collocation system,FEATURE-OF
auxiliary module of automatic segmentation,word-based collocational properties,USED-FOR
method,utterance classification,USED-FOR
method,utterance classification,USED-FOR
domain independent acoustic models,method,PART-OF
classifiers,method,PART-OF
classifiers,domain independent acoustic models,CONJUNCTION
word-trigram recognition,method,USED-FOR
manual transcription,word-trigram recognition,USED-FOR
unsupervised training,method,PART-OF
unsupervised training,phone n-gram model,USED-FOR
unsupervised training,domain,USED-FOR
classification accuracy,method,EVALUATE-FOR
spoken language system domains,method,EVALUATE-FOR
Interval Algebra -LRB- IA -RRB-,Region Connection Calculus -LRB- RCC -RRB-,CONJUNCTION
Interval Algebra -LRB- IA -RRB-,Artificial Intelligence approaches,HYPONYM-OF
Region Connection Calculus -LRB- RCC -RRB-,Artificial Intelligence approaches,HYPONYM-OF
RCC-8,Region Connection Calculus -LRB- RCC -RRB-,HYPONYM-OF
Artificial Intelligence approaches,representing and reasoning about qualitative temporal and topological relations,USED-FOR
Qualitative Constraint Network -LRB- QCN -RRB-,qualitative information,USED-FOR
algorithm,QCN,USED-FOR
chordal QCNs,algorithm,PART-OF
chordal QCNs,partial consistency,CONJUNCTION
partial consistency,algorithm,PART-OF
◆ G-consistency,partial consistency,HYPONYM-OF
QCNs of IA and RCC-8,approach,EVALUATE-FOR
morphological component,derived words,USED-FOR
two-level morphology,system,USED-FOR
two-level morphology,feature-based word grammar,CONJUNCTION
hierarchical lexicon,feature-based word grammar,USED-FOR
compositional interpretation,Polymorphemic stems,FEATURE-OF
CommonLisp,system,USED-FOR
German derivation,system,EVALUATE-FOR
Negations,modifiers,CONJUNCTION
Negations,sentiment,USED-FOR
modifiers,sentiment,USED-FOR
sentiment vector space model -LRB- s-VSM -RRB-,song lyric document,USED-FOR
s-VSM model,VSM model,COMPARE
lyric-based song sentiment classification task,s-VSM model,EVALUATE-FOR
lyric-based song sentiment classification task,VSM model,EVALUATE-FOR
algorithm,redundancy elimination problem,USED-FOR
underspecified semantic representation -LRB- USR -RRB-,scope ambiguity,USED-FOR
equivalent readings,USR,USED-FOR
algorithm,underspecified chart representations,USED-FOR
dominance graphs,underspecified chart representations,USED-FOR
it,USRs,USED-FOR
large-scale grammars,USRs,USED-FOR
it,degree of ambiguity,USED-FOR
context-free phrase-structure grammar,grammatical formalisms,USED-FOR
LFG,grammatical formalisms,HYPONYM-OF
LFG,PATR-II,CONJUNCTION
PATR-II,grammatical formalisms,HYPONYM-OF
chart-parsing framework,formalisms,FEATURE-OF
rule-invocation strategies,context-free chart parsing,PART-OF
lexical methods,terminology structuring,USED-FOR
US National Library of Medicine MeSH thesaurus,hierarchically-structured terminology,HYPONYM-OF
lexically-induced relations,MeSH relations,COMPARE
recall and precision metrics,MeSH relations,EVALUATE-FOR
small-sized bilingual corpus,EBMT,USED-FOR
out-of-domain bilingual corpus,EBMT,USED-FOR
language model,EBMT,USED-FOR
in-domain monolingual corpus,language model,USED-FOR
evaluation measures,out-of-domain bilingual corpus,USED-FOR
evaluation measures,language model,EVALUATE-FOR
BLEU score,evaluation measures,HYPONYM-OF
BLEU score,NIST score,CONJUNCTION
NIST score,evaluation measures,HYPONYM-OF
Diagrams,complex concepts,USED-FOR
Diagrams,relationships,USED-FOR
Diagrams,events,USED-FOR
complex concepts,relationships,CONJUNCTION
relationships,events,CONJUNCTION
Understanding natural images,computer vision,PART-OF
Understanding natural images,diagram understanding,COMPARE
task,structure of a diagram,USED-FOR
Diagram Parse Graphs -LRB- DPG -RRB-,structure of diagrams,USED-FOR
syntactic parsing of diagrams,DPGs,USED-FOR
semantic interpretation and reasoning of diagrams,diagram question answering,USED-FOR
LSTM-based method,syntactic parsing of diagrams,USED-FOR
DPG-based attention model,diagram question answering,USED-FOR
diagrams,dataset,FEATURE-OF
models,syntactic parsing and question answering in diagrams,USED-FOR
DPGs,models,USED-FOR
change detection methods,detecting large-scale significant changes,USED-FOR
end-to-end approach,problem,USED-FOR
joint optimization problem,fine-grained change detection,USED-FOR
factors,joint optimization problem,FEATURE-OF
normal-aware lighting difference,factors,HYPONYM-OF
normal-aware lighting difference,camera geometry correction flow,CONJUNCTION
camera geometry correction flow,factors,HYPONYM-OF
camera geometry correction flow,real scene change mask,CONJUNCTION
real scene change mask,factors,HYPONYM-OF
coarse-to-fine manner,factors,USED-FOR
rank minimization,change decision,USED-FOR
real-world datasets,fine-grained change detection of misaligned scenes,EVALUATE-FOR
varied multiple lighting conditions,fine-grained change detection of misaligned scenes,FEATURE-OF
approach,change detection methods,COMPARE
approach,real scene changes,USED-FOR
Automatic evaluation metrics,Machine Translation -LRB- MT -RRB- systems,EVALUATE-FOR
BLEU,Automatic evaluation metrics,HYPONYM-OF
BLEU,NIST,CONJUNCTION
NIST,Automatic evaluation metrics,HYPONYM-OF
they,assessment of language pairs,USED-FOR
English-Chinese,language pairs,HYPONYM-OF
English-Chinese,English-Japanese,CONJUNCTION
English-Japanese,language pairs,HYPONYM-OF
BLEU,word n-grams,USED-FOR
BLEU,character level,USED-FOR
word n-grams,character level,CONJUNCTION
BLEU,character level,USED-FOR
BLEU,word segmentation problem,USED-FOR
it,commercial systems,EVALUATE-FOR
it,statistical MT systems,EVALUATE-FOR
commercial systems,statistical MT systems,COMPARE
left corner parsing algorithm,context-free grammars,USED-FOR
algorithm,parser,USED-FOR
parser,natural language interface,USED-FOR
direct waveform modification,statistical singing voice conversion -LRB- SVC -RRB- technique,USED-FOR
spectrum differential,direct waveform modification,USED-FOR
spectrum differential,voice timbre,USED-FOR
vocoder,converted singing voice waveforms,USED-FOR
SVC,singing voice characteristics,USED-FOR
speech quality,converted singing voice,EVALUATE-FOR
speech quality,natural singing voice,EVALUATE-FOR
converted singing voice,natural singing voice,COMPARE
differential Gaussian mixture model -LRB- GMM -RRB-,differential spectral feature,USED-FOR
GMM,differential Gaussian mixture model -LRB- GMM -RRB-,USED-FOR
GMM,conversion model,USED-FOR
conversion model,SVC,USED-FOR
method,SVC,COMPARE
speech quality,method,EVALUATE-FOR
speech quality,SVC,EVALUATE-FOR
conversion accuracy of singer identity,method,EVALUATE-FOR
conversion accuracy of singer identity,SVC,USED-FOR
NIST Speaker Recognition Evaluations -LRB- SREs -RRB-,i-vector challenge,USED-FOR
fixed-length feature vectors,low-dimensional space -LRB- i-vectors -RRB-,USED-FOR
low-dimensional space -LRB- i-vectors -RRB-,i-vector challenge,USED-FOR
audio recordings,low-dimensional space -LRB- i-vectors -RRB-,COMPARE
SRE,i-vector challenge,COMPARE
leading system,baseline system,COMPARE
formalism,machine translation,USED-FOR
anaphoric component,Mimo formalism,PART-OF
Mimo,translation of anaphoric relations,USED-FOR
anaphoric component,linguistic phenomena,USED-FOR
wh-movement,linguistic phenomena,HYPONYM-OF
wh-movement,the passive and the binding of reflexives and pronouns,CONJUNCTION
the passive and the binding of reflexives and pronouns,linguistic phenomena,HYPONYM-OF
efficiency,quality,CONJUNCTION
images of popular music CD 's,database,FEATURE-OF
scheme,background clutter,USED-FOR
scheme,occlusion,USED-FOR
indexing descriptors,scheme,USED-FOR
local regions,indexing descriptors,USED-FOR
background clutter,occlusion,CONJUNCTION
vocabulary tree,local region descriptors,USED-FOR
quantization,indexing,CONJUNCTION
recognition quality,vocabulary tree approach,EVALUATE-FOR
retrieval,recognition quality,EVALUATE-FOR
database with ground truth,retrieval,USED-FOR
method,blind estimation of reverberation times,USED-FOR
reverberant enclosures,blind estimation of reverberation times,FEATURE-OF
statistical model of short-term log-energy sequences,algorithm,USED-FOR
statistical model of short-term log-energy sequences,echo-free speech,USED-FOR
method,robust automatic speech recognition,USED-FOR
reverberant environments,robust automatic speech recognition,FEATURE-OF
model selection,method,USED-FOR
reverberated speech utterance,reverberation time,USED-FOR
estimation,acoustic model,USED-FOR
acoustic model,models,PART-OF
artificial re-verberant conditions,models,FEATURE-OF
Speech recognition,approach,EVALUATE-FOR
Speech recognition,channel normaliza-tion techniques,EVALUATE-FOR
simulated and real reverberant environments,Speech recognition,FEATURE-OF
channel normaliza-tion techniques,approach,COMPARE
learning methodology,general domains,USED-FOR
general domains,linguistic domain,COMPARE
linguistic representation,language processing systems,USED-FOR
linguistic representation,language acquisition,USED-FOR
Dynamic Hierarchical Phrasal Lexicon -LRB- DHPL -RRB-,linguistic representation,HYPONYM-OF
Dynamic Hierarchical Phrasal Lexicon -LRB- DHPL -RRB-,language acquisition,USED-FOR
language learning model,RINA,PART-OF
linguistic concepts,hierarchy,PART-OF
lexical hierarchy,linguistic concepts,USED-FOR
ensemble learning approach,German pronouns,USED-FOR
approach,decision-tree classifier,COMPARE
standalone system,pronouns,USED-FOR
standalone system,unannotated text,USED-FOR
pronouns,unannotated text,PART-OF
preprocessing modules,standalone system,USED-FOR
preprocessing modules,manual annotation process,USED-FOR
textual domain,system,EVALUATE-FOR
textual domain,open-domain question answering,COMPARE
it,open-domain question answering,USED-FOR
it,text summarisation,USED-FOR
open-domain question answering,text summarisation,CONJUNCTION
statistical parser,parsing written and spoken language,USED-FOR
statistical parser,generating sub-categorization cues,USED-FOR
parsing written and spoken language,generating sub-categorization cues,CONJUNCTION
written and spoken language,generating sub-categorization cues,USED-FOR
Bikel 's parser,parsing written language,USED-FOR
accuracy,Bikel 's parser,EVALUATE-FOR
it,subcategorization cues,USED-FOR
accuracy,it,EVALUATE-FOR
subcategorization cues,spoken language,PART-OF
technology,extracting subcategorization frames,USED-FOR
technology,spoken language,USED-FOR
extracting subcategorization frames,written texts,USED-FOR
written texts,spoken language,COMPARE
punctuation,parsing,USED-FOR
punctuation,extraction of subcategorization cues,USED-FOR
parsing spoken language,extracting subcategorization cues,CONJUNCTION
subcategorization cues,spoken language,PART-OF
spoken language,extracting subcategorization cues,USED-FOR
alignment adaptation approach,domain-specific -LRB- in-domain -RRB- word alignment,USED-FOR
alignment adaptation,in-domain word alignment,USED-FOR
out-of-domain corpus,alignment adaptation,USED-FOR
large-scale out-of-domain corpus,statistical word alignment models,USED-FOR
large-scale out-of-domain corpus,small-scale in-domain corpus,CONJUNCTION
small-scale in-domain corpus,statistical word alignment models,USED-FOR
models,domain-specific word alignment,USED-FOR
approach,domain-specific word alignment,USED-FOR
approach,state-of-the-art technologies,COMPARE
precision,approach,EVALUATE-FOR
precision,recall,CONJUNCTION
recall,approach,EVALUATE-FOR
relative error rate reduction,approach,EVALUATE-FOR
relative error rate reduction,state-of-the-art technologies,EVALUATE-FOR
accuracy,part of speech -LRB- pos -RRB- tagging,EVALUATE-FOR
newspaper text,part of speech -LRB- pos -RRB- tagging,EVALUATE-FOR
parser,pos tag ambiguity,USED-FOR
fine-grained grammatical categories,grammar formalisms,USED-FOR
tag,fine-grained grammatical categories,HYPONYM-OF
ccg,fine-grained grammatical categories,HYPONYM-OF
tagging accuracy,grammar formalisms,EVALUATE-FOR
parsing,formalisms,USED-FOR
multi-tagging approach,ccg parsing,USED-FOR
lexical category ambiguity,multi-tagging approach,FEATURE-OF
multi-tagging approach,pos level,USED-FOR
pos tag ambiguity,language processing pipeline,FEATURE-OF
pos tag ambiguity,ccg supertagging,USED-FOR
framework,segmentation of complex scenes,USED-FOR
physical hypotheses,framework,USED-FOR
physical hypotheses,simple image regions,USED-FOR
framework,approach,USED-FOR
approach,segmentation of complex scenes,USED-FOR
coherent surfaces,regions of similar color,COMPARE
segmentations,scenes,USED-FOR
multi-colored piece-wise uniform objects,scenes,FEATURE-OF
approach,physics-based segmentation algorithms,COMPARE
SmartKom,multimodal dialog system,HYPONYM-OF
speech,multimodal dialog system,USED-FOR
speech,gesture,CONJUNCTION
gesture,multimodal dialog system,USED-FOR
Spontaneous speech understanding,video-based recognition of natural gestures,CONJUNCTION
SmartKom,computational methods,USED-FOR
computational methods,integration and mutual disambiguation of multimodal input and output,USED-FOR
semantic and pragmatic level,integration and mutual disambiguation of multimodal input and output,FEATURE-OF
situated delegation-oriented dialog paradigm,SmartKom,USED-FOR
XML-based markup language,multimodal content,USED-FOR
single-image highlight removal method,image in-painting,USED-FOR
illumination-based constraints,image in-painting,PART-OF
Constraints,method,USED-FOR
pixel colors,highlight color analysis,CONJUNCTION
highlight color analysis,illumination color uniformity,CONJUNCTION
method,estimation of the underlying diffuse color,USED-FOR
illumination constraints,recovery of shading and textures,USED-FOR
inpainting,recovery of shading and textures,USED-FOR
method,"spatially localized , parts-based subspace representation of visual patterns",USED-FOR
objective function,lo-calization constraint,USED-FOR
non-negativity constraint,NMF,PART-OF
algorithm,learning,USED-FOR
LNMF,NMF and PCA methods,COMPARE
LNMF,face representation and recognition,USED-FOR
NMF and PCA methods,face representation and recognition,USED-FOR
face representation and recognition,LNMF,EVALUATE-FOR
ontologies,rules,CONJUNCTION
checking and refining planning knowledge,automated plan generation,USED-FOR
complementary approach,process models,USED-FOR
interdepen-dency models,It,USED-FOR
them,errors,USED-FOR
them,fixes,USED-FOR
machine learning techniques,comma checker,USED-FOR
comma checker,grammar checker,PART-OF
grammar checker,Basque,USED-FOR
precision,system,EVALUATE-FOR
recall,system,EVALUATE-FOR
It,placing commas,USED-FOR
precision,It,EVALUATE-FOR
recall,It,EVALUATE-FOR
language corpus annotation scenario,discourse relations,USED-FOR
Czech,discourse relations,FEATURE-OF
Prague Dependency Treebank 2.0,syntactically motivated relations in discourse,USED-FOR
Prague Dependency Treebank 2.0,Penn Discourse Treebank 2,CONJUNCTION
Penn Discourse Treebank 2,syntactically motivated relations in discourse,USED-FOR
syntactico-semantic -LRB- tectogrammatical -RRB- annotation,Prague Dependency Treebank,PART-OF
it,sentence-boundary-crossing representation,USED-FOR
it,discourse level of annotation,USED-FOR
Penn discourse annotation,Praguian dependency-based approach,COMPARE
analysis and classification of discourse connectives,Praguian dependency-based approach,EVALUATE-FOR
analysis and classification of discourse connectives,Penn discourse annotation,EVALUATE-FOR
Regression-based techniques,people counting in crowded scenes,USED-FOR
data annotation,techniques,USED-FOR
data annotation,model training,USED-FOR
labelled data,abundant unlabelled data,COMPARE
unified active and semi-supervised regression framework,transfer learning,USED-FOR
geometric structure of crowd patterns,unified active and semi-supervised regression framework,USED-FOR
manifold analysis,geometric structure of crowd patterns,USED-FOR
Representing images with layers,applications,USED-FOR
video compression,applications,HYPONYM-OF
video compression,motion analysis,CONJUNCTION
motion analysis,applications,HYPONYM-OF
motion analysis,3D scene analysis,CONJUNCTION
3D scene analysis,applications,HYPONYM-OF
approach,layers,USED-FOR
layers,images,PART-OF
planar patches,scene,PART-OF
Layers,images,PART-OF
images,clusters,USED-FOR
mean-shift based clustering algorithm,clusters,USED-FOR
subspace constraint,noise,USED-FOR
non-experimental data,construction of causal graphs,USED-FOR
probability distributions,graph,FEATURE-OF
conditional inde-pendencies,constraints,HYPONYM-OF
algebraic constraints,constraints,HYPONYM-OF
conditional independencies,causal induction algorithms,USED-FOR
Verma constraints,conditional independencies,COMPARE
dormant independencies,conditional independencies,CONJUNCTION
conditional independencies,interventional distributions,FEATURE-OF
algorithm,dormant independence,USED-FOR
interventional distribution,it,FEATURE-OF
dormant independencies,model testing,USED-FOR
dormant independencies,induction,USED-FOR
model testing,induction,CONJUNCTION
algorithm,extraneous edges,USED-FOR
constraints,algorithm,USED-FOR
extraneous edges,causal graph,PART-OF
social media,animated GIFs,FEATURE-OF
dataset,animated GIF understanding,USED-FOR
natural language descriptions,animated GIFs,CONJUNCTION
crowdsourcing,natural language descriptions,USED-FOR
natural language descriptions,animated GIFs,USED-FOR
natural language descriptions,video clips,USED-FOR
animated GIFs,video clips,CONJUNCTION
quality controls,free-form text input,USED-FOR
visual content,natural language descriptions,CONJUNCTION
visual content,dataset,PART-OF
natural language descriptions,dataset,PART-OF
it,visual content captioning task,EVALUATE-FOR
dataset,image and video description datasets,COMPARE
representative techniques,animated GIF description task,USED-FOR
nearest neighbor,representative techniques,HYPONYM-OF
nearest neighbor,statistical machine translation,CONJUNCTION
statistical machine translation,representative techniques,HYPONYM-OF
statistical machine translation,recurrent neural networks,CONJUNCTION
recurrent neural networks,representative techniques,HYPONYM-OF
animated GIF description dataset,automatic movie description,USED-FOR
Systemic grammar,AI text generation,USED-FOR
approach,text generation,USED-FOR
AI problem solving techniques,systemic grammar,USED-FOR
systemic grammar,problem solving,CONJUNCTION
linguistic theory,text generation,USED-FOR
